,Educational Level,Immigration Status,Gender,Age,str,Name
1623,College level,"{'Origin': 'Germany-Berlin', 'Destination': 'United States-North Carolina', 'Domestic Migration': 0, 'International Migration': 1}",Female,94,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Germany-Berlin"",
    ""Destination"": ""United States-North Carolina"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""94""
}",anni-albers
1624,College level,"{'Origin': 'England-Denham', 'Destination': 'Switzerland-Castagnola', 'Domestic Migration': 1, 'International Migration': 1}",Male,87,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""England-Denham"",
    ""Destination"": ""Switzerland-Castagnola"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""87""
}",ben-nicholson
1625,College level,"{'Origin': 'Italy-Venice', 'Destination': 'Italy-Rome', 'Domestic Migration': 1, 'International Migration': 0}",Female,80,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Venice"",
    ""Destination"": ""Italy-Rome"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""80""
}",bice-lazzari
1626,College level,"{'Origin': 'Peru-Lima', 'Destination': 'Europe-Paris/Florence', 'Domestic Migration': 0, 'International Migration': 1}",Male,92,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Peru-Lima"",
    ""Destination"": ""Europe-Paris/Florence"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""92""
}",fernando-de-szyszlo
1627,College level,"{'Origin': 'England-New Malden', 'Destination': 'England-Churt', 'Domestic Migration': 1, 'International Migration': 0}",Male,89,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""England-New Malden"",
    ""Destination"": ""England-Churt"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""89""
}",anthony-caro
1628,Taught by other artists,"{'Origin': 'France-Paris', 'Destination': 'UK-London', 'Domestic Migration': 0, 'International Migration': 1}",Male,66,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""France-Paris"",
    ""Destination"": ""UK-London"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""66""
}",jean-fautrier
1629,Taught by other artists,"{'Origin': 'France-Strasbourg', 'Destination': ['Berlin', 'Paris', 'Strasbourg', 'Zurich', 'Toulouse'], 'Domestic Migration': 1, 'International Migration': 1}",Female,86,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""France-Strasbourg"",
    ""Destination"": [""Berlin"", ""Paris"", ""Strasbourg"", ""Zurich"", ""Toulouse""],
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""86""
}",marcelle-cahn
1630,College level,"{'Origin': 'Turkey-Istanbul', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,94,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Turkey-Istanbul"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""94""
}",adnan-coker
1631,Taught by other artists,"{'Origin': 'Russia-Bougourouslan', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,87,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Russia-Bougourouslan"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""87""
}",serge-charchoune
1632,Master level,"{'Origin': 'Belgium-Borgerhout', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,97,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Belgium-Borgerhout"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""97""
}",michel-seuphor
1633,College level,"{'Origin': 'USA-Boston', 'Destination': 'USA-Washington, D.C.', 'Domestic Migration': 1, 'International Migration': 0}",Female,92,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Boston"",
    ""Destination"": ""USA-Washington, D.C."",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""92""
}",lois-mailou-jones
1634,College level,"{'Origin': 'Hungary-Pécs', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,90,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Hungary-Pécs"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""90""
}",victor-vasarely
1635,Taught by other artists,"{'Origin': 'USA-Pendleton, Oregon', 'Destination': 'USA-San Francisco, California', 'Domestic Migration': 1, 'International Migration': 0}",Male,64,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Pendleton, Oregon"",
    ""Destination"": ""USA-San Francisco, California"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""64""
}",john-ferren
1636,College level,"{'Origin': 'France-Couterne', 'Destination': 'United States-New York', 'Domestic Migration': 0, 'International Migration': 1}",Male,83,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""France-Couterne"",
    ""Destination"": ""United States-New York"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""83""
}",jean-helion
1637,College level,"{'Origin': 'Spain-Menorca', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,79,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Spain-Menorca"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""79""
}",pierre-daura
1638,College level,"{'Origin': 'Belarus-Minsk', 'Destination': 'Poland-Warsaw', 'Domestic Migration': 0, 'International Migration': 1}",Male,59,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Belarus-Minsk"",
    ""Destination"": ""Poland-Warsaw"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""59""
}",wladyslaw-strzeminski
1639,College level,"{'Origin': 'USA-Bronx, New York', 'Destination': 'France-Paris, Italy, Spain', 'Domestic Migration': 1, 'International Migration': 1}",Male,78,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Bronx, New York"",
    ""Destination"": ""France-Paris, Italy, Spain"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",louis-schanker
1640,Taught by other artists,"{'Origin': 'Italy-Murano', 'Destination': 'United States', 'Domestic Migration': 0, 'International Migration': 1}",Male,87,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Murano"",
    ""Destination"": ""United States"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""87""
}",lino-tagliapietra
1641,College level,"{'Origin': 'USA-Decatur, Indiana', 'Destination': 'USA-Paulding, Ohio', 'Domestic Migration': 1, 'International Migration': 0}",Male,59,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Decatur, Indiana"",
    ""Destination"": ""USA-Paulding, Ohio"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""59""
}",david-smith
1642,High school level,"{'Origin': 'Romania-Cernăuți', 'Destination': 'Romania-Timișoara', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,Approximately 85,"{
  ""Educational Level"": ""High school level"",
  ""Immigration Status"": {
    ""Origin"": ""Romania-Cernăuți"",
    ""Destination"": ""Romania-Timișoara"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""Approximately 85""
}",constantin-flondor
1643,College level,"{'Origin': 'United Kingdom-Oxford', 'Destination': 'Burma-Ceylon-India', 'Domestic Migration': 0, 'International Migration': 1}",Female,87,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""United Kingdom-Oxford"",
    ""Destination"": ""Burma-Ceylon-India"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""87""
}",winifred-nicholson
1644,College level,"{'Origin': 'USA-Buffalo', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,53,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Buffalo"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""53""
}",ad-reinhardt
1645,College level,"{'Origin': 'United States-Brooklyn', 'Destination': 'United States-New York', 'Domestic Migration': 1, 'International Migration': 0}",Female,75,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""United States-Brooklyn"",
    ""Destination"": ""United States-New York"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""75""
}",lee-krasner
1646,College level,"{'Origin': 'India-Kumaranallur', 'Destination': 'France-Paris', 'Domestic Migration': 1, 'International Migration': 1}",Not specified,83,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""India-Kumaranallur"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""83""
}",akkitham-narayanan
1647,College level,"{'Origin': 'Denmark-Copenhagen', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,82,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Denmark-Copenhagen"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""82""
}",richard-mortensen
1648,Master level,"{'Origin': 'USA-Grandin, North Dakota', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,75,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Grandin, North Dakota"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""75""
}",clyfford-still
1649,College level,"{'Origin': 'Russia', 'Destination': 'United States-Boston', 'Domestic Migration': 0, 'International Migration': 1}",Female,83,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Russia"",
    ""Destination"": ""United States-Boston"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""83""
}",perle-fine
1650,College level,"{'Origin': 'Poland-Poznań', 'Destination': 'United States-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Male,74,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Poland-Poznań"",
    ""Destination"": ""United States-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""74""
}",theodore-roszak
1651,College level,"{'Origin': 'Hungary-Pécs', 'Destination': 'Multiple Countries', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,90,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Hungary-Pécs"",
    ""Destination"": ""Multiple Countries"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""90""
}",tihamer-gyarmathy
1652,Elementary level,"{'Origin': 'Denmark-Copenhagen', 'Destination': 'Denmark-Elsinore', 'Domestic Migration': 1, 'International Migration': 0}",Female,63,"{
  ""Educational Level"": ""Elementary level"",
  ""Immigration Status"": {
    ""Origin"": ""Denmark-Copenhagen"",
    ""Destination"": ""Denmark-Elsinore"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""63""
}",else-alfelt
1653,College level,"{'Origin': 'Portugal-Porto', 'Destination': 'Portugal-Porto', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,88,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Portugal-Porto"",
    ""Destination"": ""Portugal-Porto"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""88""
}",fernando-lanhas
1654,College level,"{'Origin': 'France-Chenecey-Buillon', 'Destination': 'Mexico-Mexico City', 'Domestic Migration': 0, 'International Migration': 1}",Female,83,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""France-Chenecey-Buillon"",
    ""Destination"": ""Mexico-Mexico City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""83""
}",alice-rahon
1655,No formal education,"{'Origin': 'USA-Sharon, Massachusetts', 'Destination': 'USA-Dana Point, California', 'Domestic Migration': 1, 'International Migration': 0}",Male,77,"{
  ""Educational Level"": ""No formal education"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Sharon, Massachusetts"",
    ""Destination"": ""USA-Dana Point, California"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""77""
}",john-mclaughlin
1656,,,,,"{
       ""Origin"": ""UK-Chelsham"",
       ""Destination"": ""Malta-Gudja"",
       ""Domestic Migration"": 0,
       ""International Migration"": 1
     }

3. Gender:
   - The text does not explicitly mention Pasmore's gender, but based on common naming conventions, ""Edwin John Victor Pasmore"" is likely a male name.
   - Therefore, Pasmore's Gender is ""Male"".

4. Age:
   - Pasmore was born on 3 December 1908 and died on 23 January 1998.
   - Calculating the approximate age at the time of death:
     1998 (year of death) - 1908 (year of birth) = 90 years old.
   - Therefore, Pasmore's Age is ""90"".

Final JSON Output:
{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-Chelsham"",
    ""Destination"": ""Malta-Gudja"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""90""
}",victor-pasmore
1657,College level,"{'Origin': 'Germany-Berlin', 'Destination': 'Switzerland-Minusio', 'Domestic Migration': 0, 'International Migration': 1}",Male,87,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Germany-Berlin"",
    ""Destination"": ""Switzerland-Minusio"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""87""
}",hans-richter
1658,No formal education,"{'Origin': 'Austria-Hungary-Érsekújvár', 'Destination': 'Hungary-Vienna', 'Domestic Migration': 0, 'International Migration': 1}",Male,80,"{
  ""Educational Level"": ""No formal education"",
  ""Immigration Status"": {
    ""Origin"": ""Austria-Hungary-Érsekújvár"",
    ""Destination"": ""Hungary-Vienna"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""80""
}",lajos-kassak
1659,College level,"{'Origin': 'Turkey-Istanbul', 'Destination': 'Jordan-Amman', 'Domestic Migration': 0, 'International Migration': 1}",Female,89,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Turkey-Istanbul"",
    ""Destination"": ""Jordan-Amman"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""89""
}",princess-fahrelnissa-zeid
1660,College level,"{'Origin': 'USA-Altmar', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,79,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Altmar"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""79""
}",milton-avery
1661,College level,"{'Origin': 'Bahrain-Riffa', 'Destination': 'UK-Hastings', 'Domestic Migration': 0, 'International Migration': 1}",Male,69,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Bahrain-Riffa"",
    ""Destination"": ""UK-Hastings"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""69""
}",rashid-al-khalifa
1662,,,,,"{
     ""Origin"": ""Costa Rica-Heredia"",
     ""Destination"": ""Italy-Carrara/Florence"",
     ""Domestic Migration"": 0,
     ""International Migration"": 1
   }

3. Gender: The text refers to Jorge Jiménez Deredia as ""Jorge Enrique Jiménez Martínez"", indicating that he is male.

4. Age: Jorge Jiménez Deredia was born on October 4, 1954. Since the text does not provide his death date, we will calculate his approximate age based on the current year (2022). Therefore, his approximate age is 68 years.

Final JSON Output:
{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Costa Rica-Heredia"",
    ""Destination"": ""Italy-Carrara/Florence"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""68""
}",jimenez-deredia
1663,College level,"{'Origin': 'Spain-San Sebastián', 'Destination': 'France-Paris', 'Domestic Migration': 1, 'International Migration': 1}",Male,78,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Spain-San Sebastián"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",eduardo-chillida
1664,College level,"{'Origin': 'Austria-Hungary-Tuchów', 'Destination': 'Mandate Palestine-Jerusalem', 'Domestic Migration': 0, 'International Migration': 1}",Male,96,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Austria-Hungary-Tuchów"",
    ""Destination"": ""Mandate Palestine-Jerusalem"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""96""
}",mordecai-ardon
1665,Taught by other artists,"{'Origin': 'Japan', 'Destination': 'Various countries', 'Domestic Migration': 0, 'International Migration': 1}",Male,84,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Japan"",
    ""Destination"": ""Various countries"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""84""
}",toshi-yoshida
1666,College level,"{'Origin': 'Portugal-São Tomé and Príncipe', 'Destination': 'Portugal-Lisbon', 'Domestic Migration': 1, 'International Migration': 0}",Male,77,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Portugal-São Tomé and Príncipe"",
    ""Destination"": ""Portugal-Lisbon"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""77""
}",jose-de-almada-negreiros
1667,College level,"{'Origin': 'USA-Cairo, Illinois', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,80,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Cairo, Illinois"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""80""
}",hale-woodruff
1668,College level,"{'Origin': 'Ukraine-Sokal', 'Destination': 'Ukraine-Lviv', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,86,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Ukraine-Sokal"",
    ""Destination"": ""Ukraine-Lviv"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""86""
}",roman-selsky
1669,Taught by other artists,"{'Origin': 'China-Guangxi', 'Destination': 'UK-London', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,65,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""China-Guangxi"",
    ""Destination"": ""UK-London"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""65""
}",li-yuan-chia
1670,Master level,"{'Origin': 'Ukraine-Kolomyia', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Female,76,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Ukraine-Kolomyia"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""76""
}",margit-selska
1671,College level,"{'Origin': 'USA-Los Angeles', 'Destination': 'USA', 'Domestic Migration': 1, 'International Migration': 0}",Male,44,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Los Angeles"",
    ""Destination"": ""USA"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""44""
}",john-altoon
1672,College level,"{'Origin': 'Italy', 'Destination': 'Italy-Milan', 'Domestic Migration': 1, 'International Migration': 0}",Male,72,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Italy"",
    ""Destination"": ""Italy-Milan"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""72""
}",gio-pomodoro
1673,College level,"{'Origin': 'Greece-Arta', 'Destination': 'Greece-Athens', 'Domestic Migration': 1, 'International Migration': 0}",Male,93,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Greece-Arta"",
    ""Destination"": ""Greece-Athens"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""93""
}",yiannis-moralis
1674,Master level,"{'Origin': 'United States-New York City', 'Destination': 'United States-Ohio State University', 'Domestic Migration': 1, 'International Migration': 0}",Male,73,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""United States-New York City"",
    ""Destination"": ""United States-Ohio State University"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""73""
}",roy-lichtenstein
1675,Master level,"{'Origin': 'Romania-Checea, Timis County', 'Destination': 'United States-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,83,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Romania-Checea, Timis County"",
    ""Destination"": ""United States-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""83""
}",george-saru
1676,College level,"{'Origin': 'Russia-Moscow', 'Destination': 'Russia-Moscow', 'Domestic Migration': 1, 'International Migration': 0}",Male,88,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Russia-Moscow"",
    ""Destination"": ""Russia-Moscow"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""88""
}",erik-bulatov
1677,College level,"{'Origin': 'Russian Empire-Vitsebsk', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,79,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Russian Empire-Vitsebsk"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""79""
}",ossip-zadkine
1678,College level,"{'Origin': 'Mexico-Zacatecas', 'Destination': 'Mexico-Mexico City', 'Domestic Migration': 1, 'International Migration': 0}",Male,91,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Mexico-Zacatecas"",
    ""Destination"": ""Mexico-Mexico City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""91""
}",manuel-felguerez
1679,College level,"{'Origin': 'Russian Empire-Ukraine', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Female,94,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Russian Empire-Ukraine"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""94""
}",sonia-delaunay
1680,College level,"{'Origin': 'Portugal-Lisboa', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,81,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Portugal-Lisboa"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""81""
}",jorge-martins
1681,High school level,"{'Origin': 'Italy-Possagno', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,84,"{
  ""Educational Level"": ""High school level"",
  ""Immigration Status"": {
    ""Origin"": ""Italy-Possagno"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""84""
}",gregorio-vardanega
1682,Taught by other artists,"{'Origin': 'Hungary-Budapest', 'Destination': 'Hungary-Budapest', 'Domestic Migration': 1, 'International Migration': 0}",Female,64,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Hungary-Budapest"",
    ""Destination"": ""Hungary-Budapest"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""64""
}",ilka-gedo
1683,Master level,"{'Origin': 'Ukraine-Bilopillia', 'Destination': 'Ukraine-Koncha-Zaspa', 'Domestic Migration': 1, 'International Migration': 0}",Male,65,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Ukraine-Bilopillia"",
    ""Destination"": ""Ukraine-Koncha-Zaspa"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""65""
}",victor-zaretsky
1684,Taught by other artists,"{'Origin': 'Argentina-La Plata', 'Destination': 'Italy-Florence', 'Domestic Migration': 0, 'International Migration': 1}",Male,79,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Argentina-La Plata"",
    ""Destination"": ""Italy-Florence"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""79""
}",emilio-pettoruti
